,Model_ID,Name,Publication
276,NMLCL000355,Layer 4 Burst Non-accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
277,NMLCL000356,Layer 4 Burst Non-accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
278,NMLCL000357,Layer 5 Burst Non-accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
279,NMLCL000358,Layer 5 Burst Non-accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
280,NMLCL000359,Layer 5 Burst Non-accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
281,NMLCL000360,Layer 5 Burst Non-accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
282,NMLCL000361,Layer 5 Burst Non-accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
283,NMLCL000362,Layer 5 Burst Non-accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
284,NMLCL000363,Layer 5 Burst Non-accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
285,NMLCL000364,Layer 5 Burst Non-accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
286,NMLCL000365,Layer 5 Burst Non-accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
287,NMLCL000366,Layer 5 Burst Non-accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
288,NMLCL000367,Layer 5 Burst Non-accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
289,NMLCL000368,Layer 5 Burst Non-accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
290,NMLCL000369,Layer 5 Burst Non-accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
291,NMLCL000370,Layer 5 Burst Non-accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
292,NMLCL000371,Layer 5 Burst Non-accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
293,NMLCL000372,Layer 5 Burst Non-accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
294,NMLCL000373,Layer 5 Burst Non-accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
295,NMLCL000374,Layer 5 Burst Non-accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
296,NMLCL000375,Layer 5 Burst Non-accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
297,NMLCL000376,Layer 5 Burst Non-accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
298,NMLCL000377,Layer 6 Burst Non-accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
299,NMLCL000378,Layer 6 Burst Non-accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
300,NMLCL000379,Layer 6 Burst Non-accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
301,NMLCL000380,Layer 6 Burst Non-accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
302,NMLCL000381,Layer 6 Burst Non-accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
303,NMLCL000382,Layer 6 Burst Non-accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
304,NMLCL000383,Layer 6 Burst Non-accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
305,NMLCL000384,Layer 6 Burst Non-accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
306,NMLCL000385,Layer 6 Burst Non-accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
307,NMLCL000386,Layer 6 Burst Non-accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
308,NMLCL000387,Layer 6 Burst Non-accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
309,NMLCL000388,Layer 6 Burst Non-accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
310,NMLCL000389,Layer 6 Burst Non-accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
311,NMLCL000390,Layer 6 Burst Non-accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
312,NMLCL000391,Layer 6 Burst Non-accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
313,NMLCL000392,Layer 6 Burst Non-accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
314,NMLCL000393,Layer 6 Burst Non-accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
315,NMLCL000394,Layer 6 Burst Non-accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
316,NMLCL000395,Layer 6 Burst Non-accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
317,NMLCL000396,Layer 6 Burst Non-accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
318,NMLCL000397,Layer 6 Burst Non-accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
319,NMLCL000398,Layer 6 Burst Non-accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
320,NMLCL000399,Layer 6 Burst Non-accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
321,NMLCL000400,Layer 6 Burst Non-accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
322,NMLCL000401,Layer 6 Burst Non-accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
323,NMLCL000402,Layer 6 Burst Non-accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
324,NMLCL000403,Layer 6 Burst Non-accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
325,NMLCL000404,Layer 6 Burst Non-accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
326,NMLCL000405,Layer 6 Burst Non-accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
327,NMLCL000406,Layer 6 Burst Non-accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
328,NMLCL000407,Layer 4 Burst Stuttering Bitufted Cell (1),"Markram, et. al. (2015)"
329,NMLCL000408,Layer 4 Burst Stuttering Bitufted Cell (2),"Markram, et. al. (2015)"
330,NMLCL000409,Layer 4 Burst Stuttering Bitufted Cell (3),"Markram, et. al. (2015)"
331,NMLCL000410,Layer 4 Burst Stuttering Bitufted Cell (4),"Markram, et. al. (2015)"
332,NMLCL000411,Layer 4 Burst Stuttering Bitufted Cell (5),"Markram, et. al. (2015)"
333,NMLCL000412,Layer 4 Burst Stuttering Double Bouquet Cell (1),"Markram, et. al. (2015)"
334,NMLCL000413,Layer 4 Burst Stuttering Double Bouquet Cell (2),"Markram, et. al. (2015)"
335,NMLCL000414,Layer 4 Burst Stuttering Double Bouquet Cell (3),"Markram, et. al. (2015)"
336,NMLCL000415,Layer 4 Burst Stuttering Double Bouquet Cell (4),"Markram, et. al. (2015)"
337,NMLCL000416,Layer 4 Burst Stuttering Double Bouquet Cell (5),"Markram, et. al. (2015)"
338,NMLCL000417,Layer 5 Burst Stuttering Double Bouquet Cell (1),"Markram, et. al. (2015)"
339,NMLCL000418,Layer 5 Burst Stuttering Double Bouquet Cell (2),"Markram, et. al. (2015)"
340,NMLCL000419,Layer 5 Burst Stuttering Double Bouquet Cell (3),"Markram, et. al. (2015)"
341,NMLCL000420,Layer 5 Burst Stuttering Double Bouquet Cell (4),"Markram, et. al. (2015)"
342,NMLCL000421,Layer 5 Burst Stuttering Double Bouquet Cell (5),"Markram, et. al. (2015)"
343,NMLCL000422,Layer 5 Burst Stuttering Martinotti Cell (1),"Markram, et. al. (2015)"
344,NMLCL000423,Layer 5 Burst Stuttering Martinotti Cell (2),"Markram, et. al. (2015)"
345,NMLCL000424,Layer 5 Burst Stuttering Martinotti Cell (3),"Markram, et. al. (2015)"
346,NMLCL000425,Layer 5 Burst Stuttering Martinotti Cell (4),"Markram, et. al. (2015)"
347,NMLCL000426,Layer 5 Burst Stuttering Martinotti Cell (5),"Markram, et. al. (2015)"
348,NMLCL000427,Layer 5 Burst Stuttering Nest Basket Cell (1),"Markram, et. al. (2015)"
349,NMLCL000428,Layer 5 Burst Stuttering Nest Basket Cell (2),"Markram, et. al. (2015)"
350,NMLCL000429,Layer 5 Burst Stuttering Nest Basket Cell (3),"Markram, et. al. (2015)"
351,NMLCL000430,Layer 5 Burst Stuttering Nest Basket Cell (4),"Markram, et. al. (2015)"
352,NMLCL000431,Layer 5 Burst Stuttering Nest Basket Cell (5),"Markram, et. al. (2015)"
353,NMLCL000432,Layer 6 Burst Stuttering Double Bouquet Cell (1),"Markram, et. al. (2015)"
354,NMLCL000433,Layer 6 Burst Stuttering Double Bouquet Cell (2),"Markram, et. al. (2015)"
355,NMLCL000434,Layer 6 Burst Stuttering Double Bouquet Cell (3),"Markram, et. al. (2015)"
356,NMLCL000435,Layer 6 Burst Stuttering Double Bouquet Cell (4),"Markram, et. al. (2015)"
357,NMLCL000436,Layer 6 Burst Stuttering Double Bouquet Cell (5),"Markram, et. al. (2015)"
358,NMLCL000437,Layer 6 Burst Stuttering Large Basket Cell (1),"Markram, et. al. (2015)"
359,NMLCL000438,Layer 6 Burst Stuttering Large Basket Cell (2),"Markram, et. al. (2015)"
360,NMLCL000439,Layer 6 Burst Stuttering Large Basket Cell (3),"Markram, et. al. (2015)"
361,NMLCL000440,Layer 6 Burst Stuttering Large Basket Cell (4),"Markram, et. al. (2015)"
362,NMLCL000441,Layer 6 Burst Stuttering Large Basket Cell (5),"Markram, et. al. (2015)"
363,NMLCL000442,Layer 6 Burst Stuttering Martinotti Cell (1),"Markram, et. al. (2015)"
364,NMLCL000443,Layer 6 Burst Stuttering Martinotti Cell (2),"Markram, et. al. (2015)"
365,NMLCL000444,Layer 6 Burst Stuttering Martinotti Cell (3),"Markram, et. al. (2015)"
366,NMLCL000445,Layer 6 Burst Stuttering Martinotti Cell (4),"Markram, et. al. (2015)"
367,NMLCL000446,Layer 6 Burst Stuttering Martinotti Cell (5),"Markram, et. al. (2015)"
368,NMLCL000447,Layer 6 Burst Stuttering Nest Basket Cell (1),"Markram, et. al. (2015)"
369,NMLCL000448,Layer 6 Burst Stuttering Nest Basket Cell (2),"Markram, et. al. (2015)"
370,NMLCL000449,Layer 6 Burst Stuttering Nest Basket Cell (3),"Markram, et. al. (2015)"
371,NMLCL000450,Layer 6 Burst Stuttering Nest Basket Cell (4),"Markram, et. al. (2015)"
372,NMLCL000451,Layer 6 Burst Stuttering Nest Basket Cell (5),"Markram, et. al. (2015)"
373,NMLCL000452,Layer 1 Continuous Accommodating Neurogliaform Cell with dense axonal arborization (1),"Markram, et. al. (2015)"
374,NMLCL000453,Layer 1 Continuous Accommodating Neurogliaform Cell with dense axonal arborization (2),"Markram, et. al. (2015)"
375,NMLCL000454,Layer 1 Continuous Accommodating Neurogliaform Cell with dense axonal arborization (3),"Markram, et. al. (2015)"
376,NMLCL000455,Layer 1 Continuous Accommodating Neurogliaform Cell with dense axonal arborization (4),"Markram, et. al. (2015)"
377,NMLCL000456,Layer 1 Continuous Accommodating Neurogliaform Cell with dense axonal arborization (5),"Markram, et. al. (2015)"
378,NMLCL000457,Layer 1 Continuous Accommodating Small Axon Cell (1),"Markram, et. al. (2015)"
379,NMLCL000458,Layer 1 Continuous Accommodating Small Axon Cell (2),"Markram, et. al. (2015)"
380,NMLCL000459,Layer 1 Continuous Accommodating Small Axon Cell (3),"Markram, et. al. (2015)"
381,NMLCL000460,Layer 1 Continuous Accommodating Small Axon Cell (4),"Markram, et. al. (2015)"
382,NMLCL000461,Layer 1 Continuous Accommodating Small Axon Cell (5),"Markram, et. al. (2015)"
383,NMLCL000462,Layer 2/3 Continuous Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
384,NMLCL000463,Layer 2/3 Continuous Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
385,NMLCL000464,Layer 2/3 Continuous Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
386,NMLCL000465,Layer 2/3 Continuous Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
387,NMLCL000466,Layer 2/3 Continuous Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
388,NMLCL000467,Layer 2/3 Continuous Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
389,NMLCL000468,Layer 2/3 Continuous Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
390,NMLCL000469,Layer 2/3 Continuous Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
391,NMLCL000470,Layer 2/3 Continuous Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
392,NMLCL000471,Layer 2/3 Continuous Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
393,NMLCL000472,Layer 2/3 Continuous Accommodating Chandelier Cell (1),"Markram, et. al. (2015)"
394,NMLCL000473,Layer 2/3 Continuous Accommodating Chandelier Cell (2),"Markram, et. al. (2015)"
395,NMLCL000474,Layer 2/3 Continuous Accommodating Chandelier Cell (3),"Markram, et. al. (2015)"
396,NMLCL000475,Layer 2/3 Continuous Accommodating Chandelier Cell (4),"Markram, et. al. (2015)"
397,NMLCL000476,Layer 2/3 Continuous Accommodating Chandelier Cell (5),"Markram, et. al. (2015)"
398,NMLCL000477,Layer 2/3 Continuous Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
399,NMLCL000478,Layer 2/3 Continuous Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
400,NMLCL000479,Layer 2/3 Continuous Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
401,NMLCL000480,Layer 2/3 Continuous Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
402,NMLCL000481,Layer 2/3 Continuous Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
403,NMLCL000482,Layer 2/3 Continuous Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
404,NMLCL000483,Layer 2/3 Continuous Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
405,NMLCL000484,Layer 2/3 Continuous Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
406,NMLCL000485,Layer 2/3 Continuous Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
407,NMLCL000486,Layer 2/3 Continuous Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
408,NMLCL000487,Layer 2/3 Continuous Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
409,NMLCL000488,Layer 2/3 Continuous Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
410,NMLCL000489,Layer 2/3 Continuous Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
411,NMLCL000490,Layer 2/3 Continuous Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
412,NMLCL000491,Layer 2/3 Continuous Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
413,NMLCL000492,Layer 2/3 Continuous Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
414,NMLCL000493,Layer 2/3 Continuous Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
415,NMLCL000494,Layer 2/3 Continuous Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
416,NMLCL000495,Layer 2/3 Continuous Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
417,NMLCL000496,Layer 2/3 Continuous Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
418,NMLCL000497,Layer 2/3 Continuous Accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
419,NMLCL000498,Layer 2/3 Continuous Accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
420,NMLCL000499,Layer 2/3 Continuous Accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
421,NMLCL000500,Layer 2/3 Continuous Accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
422,NMLCL000501,Layer 2/3 Continuous Accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
423,NMLCL000502,Layer 2/3 Continuous Accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
424,NMLCL000503,Layer 2/3 Continuous Accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
425,NMLCL000504,Layer 2/3 Continuous Accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
426,NMLCL000505,Layer 2/3 Continuous Accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
427,NMLCL000506,Layer 2/3 Continuous Accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
428,NMLCL000507,Layer 4 Continuous Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
429,NMLCL000508,Layer 4 Continuous Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
430,NMLCL000509,Layer 4 Continuous Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
431,NMLCL000510,Layer 4 Continuous Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
432,NMLCL000511,Layer 4 Continuous Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
433,NMLCL000512,Layer 4 Continuous Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
434,NMLCL000513,Layer 4 Continuous Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
435,NMLCL000514,Layer 4 Continuous Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
436,NMLCL000515,Layer 4 Continuous Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
437,NMLCL000516,Layer 4 Continuous Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
438,NMLCL000517,Layer 4 Continuous Accommodating Chandelier Cell (1),"Markram, et. al. (2015)"
439,NMLCL000518,Layer 4 Continuous Accommodating Chandelier Cell (2),"Markram, et. al. (2015)"
440,NMLCL000519,Layer 4 Continuous Accommodating Chandelier Cell (3),"Markram, et. al. (2015)"
441,NMLCL000520,Layer 4 Continuous Accommodating Chandelier Cell (4),"Markram, et. al. (2015)"
442,NMLCL000521,Layer 4 Continuous Accommodating Chandelier Cell (5),"Markram, et. al. (2015)"
443,NMLCL000522,Layer 4 Continuous Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
444,NMLCL000523,Layer 4 Continuous Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
445,NMLCL000524,Layer 4 Continuous Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
446,NMLCL000525,Layer 4 Continuous Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
447,NMLCL000526,Layer 4 Continuous Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
448,NMLCL000527,Layer 4 Continuous Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
449,NMLCL000528,Layer 4 Continuous Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
450,NMLCL000529,Layer 4 Continuous Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
451,NMLCL000530,Layer 4 Continuous Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
452,NMLCL000531,Layer 4 Continuous Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
453,NMLCL000532,Layer 4 Continuous Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
454,NMLCL000533,Layer 4 Continuous Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
455,NMLCL000534,Layer 4 Continuous Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
456,NMLCL000535,Layer 4 Continuous Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
457,NMLCL000536,Layer 4 Continuous Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
458,NMLCL000537,Layer 4 Continuous Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
459,NMLCL000538,Layer 4 Continuous Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
460,NMLCL000539,Layer 4 Continuous Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
461,NMLCL000540,Layer 4 Continuous Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
462,NMLCL000541,Layer 4 Continuous Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
463,NMLCL000542,Layer 4 Continuous Accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
464,NMLCL000543,Layer 4 Continuous Accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
465,NMLCL000544,Layer 4 Continuous Accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
466,NMLCL000545,Layer 4 Continuous Accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
467,NMLCL000546,Layer 4 Continuous Accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
468,NMLCL000547,Layer 4 Continuous Accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
469,NMLCL000548,Layer 4 Continuous Accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
470,NMLCL000549,Layer 4 Continuous Accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
471,NMLCL000550,Layer 4 Continuous Accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
472,NMLCL000551,Layer 4 Continuous Accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
473,NMLCL000552,Layer 5 Continuous Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
474,NMLCL000553,Layer 5 Continuous Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
475,NMLCL000554,Layer 5 Continuous Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
476,NMLCL000555,Layer 5 Continuous Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
477,NMLCL000556,Layer 5 Continuous Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
478,NMLCL000557,Layer 5 Continuous Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
479,NMLCL000558,Layer 5 Continuous Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
480,NMLCL000559,Layer 5 Continuous Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
481,NMLCL000560,Layer 5 Continuous Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
482,NMLCL000561,Layer 5 Continuous Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
483,NMLCL000562,Layer 5 Continuous Accommodating Chandelier Cell (1),"Markram, et. al. (2015)"
484,NMLCL000563,Layer 5 Continuous Accommodating Chandelier Cell (2),"Markram, et. al. (2015)"
485,NMLCL000564,Layer 5 Continuous Accommodating Chandelier Cell (3),"Markram, et. al. (2015)"
486,NMLCL000565,Layer 5 Continuous Accommodating Chandelier Cell (4),"Markram, et. al. (2015)"
487,NMLCL000566,Layer 5 Continuous Accommodating Chandelier Cell (5),"Markram, et. al. (2015)"
488,NMLCL000567,Layer 5 Continuous Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
489,NMLCL000568,Layer 5 Continuous Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
490,NMLCL000569,Layer 5 Continuous Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
491,NMLCL000570,Layer 5 Continuous Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
492,NMLCL000571,Layer 5 Continuous Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
493,NMLCL000572,Layer 5 Continuous Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
494,NMLCL000573,Layer 5 Continuous Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
495,NMLCL000574,Layer 5 Continuous Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
496,NMLCL000575,Layer 5 Continuous Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
497,NMLCL000576,Layer 5 Continuous Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
498,NMLCL000577,Layer 5 Continuous Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
499,NMLCL000578,Layer 5 Continuous Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
500,NMLCL000579,Layer 5 Continuous Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
501,NMLCL000580,Layer 5 Continuous Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
502,NMLCL000581,Layer 5 Continuous Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
503,NMLCL000582,Layer 5 Continuous Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
504,NMLCL000583,Layer 5 Continuous Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
505,NMLCL000584,Layer 5 Continuous Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
506,NMLCL000585,Layer 5 Continuous Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
507,NMLCL000586,Layer 5 Continuous Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
508,NMLCL000587,Layer 5 Continuous Accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
509,NMLCL000588,Layer 5 Continuous Accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
510,NMLCL000589,Layer 5 Continuous Accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
511,NMLCL000590,Layer 5 Continuous Accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
512,NMLCL000591,Layer 5 Continuous Accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
513,NMLCL000592,Layer 5 Continuous Accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
514,NMLCL000593,Layer 5 Continuous Accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
515,NMLCL000594,Layer 5 Continuous Accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
516,NMLCL000595,Layer 5 Continuous Accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
517,NMLCL000596,Layer 5 Continuous Accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
518,NMLCL000597,Layer 6 Continuous Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
519,NMLCL000598,Layer 6 Continuous Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
520,NMLCL000599,Layer 6 Continuous Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
521,NMLCL000600,Layer 6 Continuous Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
522,NMLCL000601,Layer 6 Continuous Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
523,NMLCL000602,Layer 6 Continuous Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
524,NMLCL000603,Layer 6 Continuous Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
525,NMLCL000604,Layer 6 Continuous Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
526,NMLCL000605,Layer 6 Continuous Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
527,NMLCL000606,Layer 6 Continuous Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
528,NMLCL000607,Layer 6 Continuous Accommodating Chandelier Cell (1),"Markram, et. al. (2015)"
529,NMLCL000608,Layer 6 Continuous Accommodating Chandelier Cell (2),"Markram, et. al. (2015)"
530,NMLCL000609,Layer 6 Continuous Accommodating Chandelier Cell (3),"Markram, et. al. (2015)"
531,NMLCL000610,Layer 6 Continuous Accommodating Chandelier Cell (4),"Markram, et. al. (2015)"
532,NMLCL000611,Layer 6 Continuous Accommodating Chandelier Cell (5),"Markram, et. al. (2015)"
533,NMLCL000612,Layer 6 Continuous Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
534,NMLCL000613,Layer 6 Continuous Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
535,NMLCL000614,Layer 6 Continuous Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
536,NMLCL000615,Layer 6 Continuous Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
537,NMLCL000616,Layer 6 Continuous Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
538,NMLCL000617,Layer 6 Continuous Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
539,NMLCL000618,Layer 6 Continuous Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
540,NMLCL000619,Layer 6 Continuous Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
541,NMLCL000620,Layer 6 Continuous Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
542,NMLCL000621,Layer 6 Continuous Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
543,NMLCL000622,Layer 6 Continuous Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
